Statistical profiling result from isolate-0x103000000-v8.log, (4126 ticks, 516 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.1%    0.1%  LazyCompile: *has /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-reader/state.js:23:19
      4    0.1%    0.1%  LazyCompile: *get native collection.js:242:16
      4    0.1%    0.1%  LazyCompile: *_updatePriority /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/priority.js:85:66
      4    0.1%    0.1%  LazyCompile: *Buffer buffer.js:75:16
      4    0.1%    0.1%  Function: ~decode :3:25
      3    0.1%    0.1%  Stub: ToBooleanICStub(Bool,Null)
      3    0.1%    0.1%  Stub: StrictEqualStub
      3    0.1%    0.1%  Stub: RecordWriteStub {6}
      3    0.1%    0.1%  Stub: HasPropertyStub
      3    0.1%    0.1%  Stub: CEntryStub {2}
      3    0.1%    0.1%  LazyCompile: ~write /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/utils.js:60:44
      3    0.1%    0.1%  LazyCompile: ~toChunks /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/obuf/index.js:22:52
      3    0.1%    0.1%  LazyCompile: ~removeListener events.js:316:28
      3    0.1%    0.1%  LazyCompile: ~mac.digest /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-secio/src/etm.js:20:26
      3    0.1%    0.1%  LazyCompile: ~insert timers.js:119:16
      3    0.1%    0.1%  LazyCompile: ~flow /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_readable.js:736:14
      3    0.1%    0.1%  LazyCompile: ~encrypt /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-crypto/src/crypto/aes.js:20:13
      3    0.1%    0.1%  LazyCompile: ~drain /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/stream-to-pull-stream/index.js:139:17
      3    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/spdy/parser.js:50:44
      3    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-length-prefixed/lib/decode.js:25:47
      3    0.1%    0.1%  LazyCompile: *writeOrBuffer /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_writable.js:314:23
      3    0.1%    0.1%  LazyCompile: *pull.asyncMap /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-secio/src/etm.js:37:19
      3    0.1%    0.1%  LazyCompile: *ondata stream.js:29:18
      3    0.1%    0.1%  LazyCompile: *module.exports.get /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/src/wantlist/entry.js:29:28
      3    0.1%    0.1%  LazyCompile: *has native collection.js:293:16
      3    0.1%    0.1%  LazyCompile: *digest /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-crypto/src/crypto/hmac.js:9:12
      3    0.1%    0.1%  LazyCompile: *debug /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/debug/debug.js:62:15
      3    0.1%    0.1%  LazyCompile: *_addListener events.js:210:22
      3    0.1%    0.1%  LazyCompile: *Uint8ArrayConstructByArrayBuffer native typedarray.js:135:42
      3    0.1%    0.1%  LazyCompile: *Module._nodeModulePaths module.js:274:37
      3    0.1%    0.1%  LazyCompile: *Hmac crypto.js:87:14
      3    0.1%    0.1%  LazyCompile: *<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/sources/values.js:15:19
      3    0.1%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot {1}
      3    0.1%    0.1%  Handler: hasOwnProperty {NaN}
      3    0.1%    0.1%  Handler: An IC handler from the snapshot {4}
      3    0.1%    0.1%  Function: ~next /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/stream-to-pull-stream/node_modules/looper/index.js:3:18
      3    0.1%    0.1%  Builtin: StringPrototypeCharCodeAt
      3    0.1%    0.1%  Builtin: ConstructFunction
      2    0.0%    0.1%  Stub: ToLengthStub
      2    0.0%    0.1%  Stub: ToIntegerStub
      2    0.0%    0.1%  Stub: ToBooleanICStub(Undefined,SpecObject)
      2    0.0%    0.1%  Stub: ToBooleanICStub {1}
      2    0.0%    0.1%  Stub: StoreFieldStub {4}
      2    0.0%    0.1%  Stub: RecordWriteStub {9}
      2    0.0%    0.1%  Stub: RecordWriteStub {7}
      2    0.0%    0.1%  Stub: RecordWriteStub {5}
      2    0.0%    0.1%  Stub: RecordWriteStub {1}
      2    0.0%    0.1%  Stub: LoadFieldStub
      2    0.0%    0.1%  Stub: LoadConstantStub {3}
      2    0.0%    0.1%  Stub: LoadConstantStub {1}
      2    0.0%    0.1%  Stub: LoadConstantStub
      2    0.0%    0.1%  Stub: GrowArrayElementsStub {1}
      2    0.0%    0.1%  Stub: GetPropertyStub
      2    0.0%    0.1%  Stub: FastCloneShallowArrayStub
      2    0.0%    0.1%  Stub: CompareICStub {6}
      2    0.0%    0.1%  Stub: CompareICStub {2}
      2    0.0%    0.1%  Stub: CompareICStub {1}
      2    0.0%    0.1%  Stub: BinaryOpICStub {1}
      2    0.0%    0.1%  LazyCompile: ~slowToString buffer.js:428:22
