Statistical profiling result from isolate-0x102801600-v8.log, (4432 ticks, 510 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    134    3.0%          /usr/lib/system/libsystem_kernel.dylib
     88    2.0%          /usr/lib/system/libsystem_malloc.dylib
     54    1.2%          /usr/lib/system/libsystem_platform.dylib
     23    0.5%          /usr/lib/system/libsystem_c.dylib
     10    0.2%          /usr/lib/system/libsystem_pthread.dylib
      2    0.0%          /usr/lib/libc++abi.dylib
      1    0.0%          /usr/lib/system/libsystem_m.dylib
      1    0.0%          /usr/lib/libc++.1.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    363    8.2%    8.8%  LazyCompile: *encode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/base-x/index.js:19:19
     66    1.5%    1.6%  LazyCompile: *iushrn /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/bn.js/lib/bn.js:1999:41
     61    1.4%    1.5%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     45    1.0%    1.1%  Builtin: CallFunction_ReceiverIsAny
     41    0.9%    1.0%  Builtin: CompileLazy
     23    0.5%    0.6%  Stub: StringAddStub
     19    0.4%    0.5%  Builtin: Call_ReceiverIsNotNullOrUndefined
     19    0.4%    0.5%  Builtin: ArgumentsAdaptorTrampoline
     18    0.4%    0.4%  Stub: FastNewFunctionContextStub
     18    0.4%    0.4%  LazyCompile: *next /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-cat/index.js:20:21
     15    0.3%    0.4%  Stub: FastNewClosureStub
     13    0.3%    0.3%  LazyCompile: *emit events.js:136:44
     13    0.3%    0.3%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     10    0.2%    0.2%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-length-prefixed/lib/encode.js:27:27
     10    0.2%    0.2%  LazyCompile: *<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_readable.js:604:19
     10    0.2%    0.2%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     10    0.2%    0.2%  Builtin: Construct
      9    0.2%    0.2%  KeyedLoadIC: A keyed load IC from the snapshot
      9    0.2%    0.2%  Handler: length {1}
      8    0.2%    0.2%  LazyCompile: ~Socket._writeGeneric net.js:665:42
      8    0.2%    0.2%  Builtin: Call_ReceiverIsAny
      7    0.2%    0.2%  Stub: SubStringStub
      7    0.2%    0.2%  LazyCompile: *writeOrBuffer /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_writable.js:314:23
      7    0.2%    0.2%  LazyCompile: *get native collection.js:242:16
